chloroquine	214036
hydroxychloroquine	184607
estar	171006
azithromycin	63642
ibuprofen	60890
agar	42069
schiff	32815
vicodin	25126
plaquenil	23430
aquest	20779
advil	20739
surpass	18614
oxygen	16558
nitrogen	14018
pill	13285
blockade	12948
antara	12243
zinc	11020
spray	9571
cambia	9365
dettol	9188
aerosol	8989
fera	7083
nariz	6921
actos	6789
bayer	6081
west nile virus	6030
tylenol	5946
frais	5378
toothpaste	4527
scrubs	4426
prevail	4353
cocaine	3955
captan	3876
kroger	3601
univer	3418
silicon	3362
lopinavir	3339
neon	3336
zithromax	3331
visage	3280
compro	3241
liquid	3186
epoch	3123
vitamin d	3072
tocilizumab	2902
injection	2896
mica	2736
proteins	2572
ritonavir	2528
z-pak	2459
rivotril	2221
methanol	2219
tablet	2177
misoprostol	2162
apri	2156
chlorine	2119
testim	1989
berman	1899
cortisone	1827
cutar	1765
matrix	1756
renova	1752
tolak	1716
tabloid	1640
motrin	1623
latex	1585
alor	1566
rayos	1522
purell	1504
caffeine	1504
hydrogen	1450
mercury	1436
botox	1380
fentanyl	1379
nivaquine	1372
alum	1311
suspen	1249
aleve	1236
alli	1235
morphine	1214
sodium	1214
kaletra	1197
placebo	1183
soma	1162
acetaminophen	1145
tena	1142
quinine	1119
ethanol	1099
cloroquine	1079
palm oil	1071
rufen	1005
antagon	985
aclaro	981
heroin	977
hydrogen peroxide	973
esca	873
covera	873
chlorine dioxide	861
meloxicam	860
carles	849
bcg vaccine	793
hypochlorite	775
depen	768
actemra	760
capsule	686
balancer	675
decongest	660
ogen	658
nicotine	655
aspirin	648
rutin	639
reconcile	633
doral	629
prosed	616
yasmin	603
hemp	601
lotion	600
isopropyl alcohol	593
uranium	577
tobi	566
docu	558
vaporub	557
fiber	552
servira	510
interleukin-6	510
zpak	506
blade	479
carac	469
vascepa	469
terrell	461
adderall	455
propofol	455
oseltamivir	454
syrup	451
crest	432
lemon juice	426
ivermectin	420
allay	415
amix	404
ventolin	404
glucose	394
tandem	387
accu	387
naproxen	387
testosterone	386
marquis	373
kerr	372
viagra	371
penicillin	369
culturelle	367
septa	360
orange juice	359
tamiflu	358
mesylate	351
fiore	345
calpol	342
coraz	328
losartan	327
baza	322
curcumin	313
lithium	308
buscopan	305
ointment	304
deca	298
kevzara	291
aciclovir	289
elixir	287
carbon dioxide	286
olive oil	284
versed	282
lard	282
zinc sulfate	281
quercetin	279
meijer	270
hongos	266
broncolin	265
cholesterol	262
excede	261
hesperidin	256
tace	253
serotonin	253
opium	247
coconut oil	241
vortex	241
xanax	241
methadone	240
redux	234
aluminum	231
sovaldi	228
meted	226
selenium	225
everolimus	220
sarna	219
sulfur	216
sarilumab	213
melatonin	212
kwai	211
mefloquine	209
aldosterone	203
glyphosate	203
solis	202
propel	202
primor	201
colchicine	199
panadol	198
enema	191
innovar	187
chlorphenamine	186
namenda	184
conate	183
afrin	180
charcoal	179
albuterol	179
triad	173
propane	170
paral	169
recede	167
atazanavir	163
meritate	161
